"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Australia","AUS","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","115.945","109.193","112.52","115.744","118.397","118.821","119.572","117.181","116.936","112.951","118.68","111.436","109.266","105.585","107.606","100.657","98.8","95.829","93.146","86.588","84.083","81.313","82.146","79.373","77.797","78.647","73.685","73.581","71.998","70.171","66.315","65.318","64.989","61.613","62.04","60.379","60.105","59.606","57.991","55.867","56.11","53.626","53.059","50.696","49.519","47.594","48.234","48.13","46.642","47.91","45.705","46.069","44.343","44.939","44.759","","","",
"Austria","AUT","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","117.967","112.97","113.059","112.629","108.695","109.451","108.257","108.787","105.005","110.577","107.566","103.892","101.461","100.93","99.87","99.27","98.131","96.938","93.223","92.152","91.553","89.612","89.881","90.61","83.971","82.648","80.393","76.616","73.124","73.305","74.515","73.028","71.571","72.383","70.396","67.807","67.344","61.936","62.302","63.655","63.086","60.189","58.798","59.511","54.984","55.04","51.653","51.827","50.272","50.029","48.679","49.343","46.718","45.316","46.009","","","",
"Azerbaijan","AZE","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","92.807","93.54","94.272","95.001","95.73","96.459","97.187","97.916","98.643","99.369","100.095","100.821","101.547","102.27","102.993","103.715","104.438","105.161","105.881","106.601","107.321","108.041","108.761","109.479","110.197","110.914","111.632","112.349","112.913","113.476","114.039","114.603","115.166","115.005","114.844","114.682","114.521","114.36","115.618","116.875","118.133","119.39","120.648","114.889","109.131","103.372","97.613","91.855","91.028","90.202","89.375","88.549","87.723","87.02","86.318","85.616","84.914","",
"Burundi","BDI","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","407.843","404.56","401.276","398.058","394.839","391.621","388.403","385.185","383.697","382.209","380.721","379.233","377.745","373.269","368.793","364.317","359.841","355.365","352.128","348.891","345.654","342.417","339.18","337.022","334.863","332.705","330.546","328.388","332.267","336.147","340.026","343.905","347.785","343.315","338.846","334.376","329.906","325.437","326.343","327.248","328.154","329.06","329.966","327","324.034","321.068","318.103","315.137","307.511","299.885","292.259","284.633","277.007","273.074","269.141","265.208","261.275","",
"Belgium","BEL","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","109.744","104.904","109.022","108.092","106.719","108.226","107.443","104.835","106.235","106.736","105.342","102.812","102.257","100.638","99.246","100.222","98.688","96.093","96.095","93.705","90.859","88.339","88.479","88.361","83.767","81.79","82.038","78.651","76.649","76.562","75.066","72.279","73.369","71.632","73.234","71.335","70.636","70.726","70.915","67.424","68.603","67.762","66.935","65.407","62.807","62.195","61.1","63.042","61.637","61.088","59.248","59.442","57.004","57.438","53.222","53.912","","",
"Benin","BEN","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","463.376","457.518","451.66","443.165","434.671","426.176","417.682","409.187","399.013","388.839","378.664","368.49","358.315","350.637","342.959","335.281","327.603","319.925","315.611","311.296","306.981","302.666","298.352","290.38","282.407","274.435","266.463","258.491","253.919","249.346","244.773","240.201","235.628","239.82","244.013","248.205","252.398","256.59","256.818","257.046","257.273","257.501","257.729","253.713","249.696","245.68","241.664","237.648","235.644","233.641","231.638","229.635","227.631","224.952","222.272","219.592","216.912","",
"Burkina Faso","BFA","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","463.647","457.826","452.005","446.67","441.335","436","430.666","425.331","419.361","413.392","407.422","401.452","395.482","387.634","379.786","371.938","364.09","356.242","342.565","328.887","315.209","301.532","287.854","287.98","288.106","288.232","288.358","288.484","291.052","293.621","296.19","298.758","301.327","301.388","301.45","301.511","301.572","301.633","300.614","299.594","298.574","297.554","296.534","293.009","289.484","285.958","282.433","278.907","274.547","270.186","265.826","261.466","257.105","252.233","247.36","242.487","237.615","",
"Bangladesh","BGD","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","289.549","285.068","280.588","276.528","272.468","268.409","264.349","260.289","259.216","258.142","257.068","255.994","254.921","249.315","243.71","238.104","232.499","226.893","224.202","221.511","218.82","216.128","213.437","211.109","208.782","206.454","204.127","201.799","199.789","197.78","195.77","193.76","191.751","189.789","187.827","185.865","183.903","181.942","176.149","170.357","164.565","158.773","152.98","148.699","144.418","140.137","135.856","131.575","128.84","126.106","123.372","120.637","117.903","115.091","112.278","109.465","106.653","",
"Bulgaria","BGR","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","114.233","111.441","113.264","108.752","102.137","101.441","100.698","100.948","100.316","103.584","99.985","101.51","99.431","95.89","97.386","96.148","96.224","97.41","99.604","99.424","98.616","97.129","98.377","95.48","98.28","98.306","95.598","94.946","97.619","95.678","98.031","96.694","99.154","94.933","98.323","99.894","99.882","106.581","98.614","99.09","98.77","94.995","93.982","91.517","92.409","92.411","93.409","91.442","88.953","87.552","88.259","","","","","","","",
"Bahrain","BHR","Mortality rate adult female (per 1000 female adults)","SP.DYN.AMRT.FE","233.715","223.843","213.97","206.793","199.616","192.439","185.261","178.084","172.796","167.507","162.219","156.93","151.642","147.657","143.673","139.688","135.704","131.719","128.662","125.604","122.547","119.489","116.432","114.024","111.616","109.207","106.799","104.391","102.296","100.2","98.105","96.009","93.914","91.936","89.957","87.979","86.001","84.023","82.133","80.243","78.353","76.463","74.573","72.824","71.075","69.326","67.578","65.829","64.95","64.072","63.193","62.315","61.436","60.59","59.743","58.897","58.05","",
