"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","275.552","272.245","268.938","266.171","263.405","260.639","257.872","255.106","252.479","249.853","247.226","244.599","241.972","239.481","236.99","234.498","232.007","229.516","227.155","224.793","222.432","220.071","217.71","215.471","213.232","210.993","208.753","206.514","204.394","202.274","200.154","198.034","195.914","193.91","191.905","189.9","187.895","185.891","183.993","182.095","180.197","178.299","176.401","174.606","172.811","171.016","169.222","167.427","165.5","163.573","161.646","159.719","157.793","156.198","154.604","153.01","151.416","",
"Australia","AUS","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","200.002","198.798","203.462","202.321","209.649","207.719","206.017","206.312","209.074","206.54","208.404","197.854","194.629","192.445","196.527","189.264","185.174","177.922","174.411","169.627","165.101","160.651","157.037","148.866","145.949","142.197","136.863","136.153","132.62","130.181","123.909","118.765","116.619","112.781","112.34","108.991","107.828","104.412","103.662","101.034","97.967","93.803","90.81","89.049","86.334","85.445","82.954","84.731","81.993","81.777","78.636","78.27","75.581","75.213","76.486","","","",
"Austria","AUT","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","215.263","205.875","206.275","201.23","199.546","202.429","201.227","202.527","202.723","202.263","206.058","205.93","206.936","197.095","199.838","200.71","198.504","199.746","200.74","200.945","196.753","195.014","194.749","193.896","190.115","181.013","175.19","167.726","161.955","160.399","155.025","157.502","152.872","149.693","145.736","145.057","140.373","134.972","131.697","125.992","126.288","122.852","119.923","115.829","114.44","111.396","105.736","104.203","99.627","102.95","100.294","94.337","91.344","89.368","85.631","","","",
"Azerbaijan","AZE","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","221.357","221.348","221.34","221.33","221.321","221.311","221.302","221.292","221.283","221.273","221.263","221.253","221.244","221.232","221.22","221.207","221.195","221.183","221.172","221.16","221.149","221.138","221.126","221.116","221.107","221.097","221.087","221.078","228.837","236.597","244.356","252.116","259.875","256.187","252.499","248.811","245.123","241.434","234.596","227.758","220.92","214.082","207.244","204.095","200.946","197.796","194.647","191.498","188.489","185.48","182.472","179.463","176.454","175.696","174.938","174.18","173.422","",
"Burundi","BDI","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","469.175","465.763","462.35","459.006","455.661","452.317","448.973","445.628","444.056","442.484","440.912","439.34","437.768","432.895","428.023","423.151","418.279","413.407","410.604","407.801","404.999","402.196","399.394","397.122","394.85","392.578","390.306","388.034","391.536","395.039","398.541","402.043","405.546","400.644","395.742","390.841","385.939","381.037","381.319","381.601","381.883","382.164","382.446","379.054","375.662","372.271","368.879","365.487","359.547","353.606","347.666","341.726","335.786","331.579","327.373","323.166","318.96","",
"Belgium","BEL","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","209.304","200.353","201.733","203.094","200.216","203.916","195.774","196.98","198.983","199.271","194.035","192.395","193.861","189.712","181.337","182.274","182.113","178.309","180.55","176.354","174.519","167.993","166.675","165.371","159.472","157.056","152.375","149.779","144.164","141.117","138.654","138.299","135.472","136.602","136.398","136.862","132.411","131.231","129.01","131.756","130.295","128.108","124.795","122.531","116.553","114.389","110.936","109.256","111.642","107.226","102.017","100.339","98.987","94.237","91.354","89.284","","",
"Benin","BEN","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","473.237","469.18","465.122","461.133","457.143","453.154","449.164","445.175","442.137","439.099","436.061","433.023","429.986","427.169","424.352","421.535","418.718","415.901","413.308","410.716","408.123","405.531","402.938","391.017","379.096","367.175","355.255","343.334","333.244","323.154","313.065","302.975","292.885","298.047","303.209","308.371","313.533","318.695","317.305","315.915","314.525","313.135","311.746","306.42","301.095","295.77","290.445","285.12","283.036","280.953","278.869","276.786","274.702","271.907","269.111","266.315","263.52","",
"Burkina Faso","BFA","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","543.058","536.847","530.636","524.746","518.855","512.965","507.074","501.183","494.945","488.707","482.469","476.231","469.993","461.204","452.414","443.625","434.836","426.047","410.306","394.566","378.825","363.084","347.344","346.792","346.24","345.688","345.136","344.584","347.923","351.262","354.602","357.941","361.28","363.839","366.398","368.957","371.516","374.075","369.035","363.995","358.956","353.916","348.876","341.156","333.435","325.715","317.995","310.275","305.532","300.79","296.047","291.305","286.562","282.184","277.806","273.429","269.051","",
"Bangladesh","BGD","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","287.786","283.316","278.847","274.735","270.623","266.512","262.4","258.288","257.081","255.873","254.666","253.458","252.251","246.681","241.111","235.542","229.972","224.403","221.984","219.566","217.147","214.729","212.31","210.265","208.22","206.176","204.131","202.086","200.248","198.409","196.571","194.732","192.894","190.703","188.513","186.322","184.132","181.942","179.861","177.781","175.701","173.621","171.541","169.974","168.407","166.841","165.274","163.707","162.277","160.847","159.417","157.988","156.558","154.386","152.214","150.041","147.869","",
"Bulgaria","BGR","Mortality rate adult male (per 1000 male adults)","SP.DYN.AMRT.MA","164.938","162.435","165.986","159.618","154.488","151.941","155.165","164.552","160.668","169.163","159.814","172.981","172.606","164.524","169.469","177.643","173.613","185.61","184.761","191.368","189.866","188.381","197.424","198.215","202.751","210.525","208.622","206.571","210.298","217.95","219.326","212.529","229.761","240.436","246.884","245.326","238.237","244.314","241.743","222.568","224.896","222.531","218.314","216.006","216.239","219.686","218.5","211.997","208.254","203.861","196.963","","","","","","","",
